Age,Sex,mu,sigma,P5,P25,P50,P75,P95
11.03287671,F,0.768043068,0.166400046,0.320324909,0.496551096,0.624846212,0.740023348,0.853620388
11.03985081,F,0.768079211,0.166391229,0.320578459,0.496757688,0.625018618,0.740165065,0.853731835
11.04682491,F,0.768115312,0.166382418,0.320831819,0.496964127,0.625190899,0.740306679,0.853843204
11.053799,F,0.768151372,0.166373614,0.321084987,0.497170413,0.625363053,0.740448191,0.853954495
11.0607731,F,0.76818739,0.166364818,0.321337965,0.497376545,0.62553508,0.740589601,0.854065708
11.0677472,F,0.768223366,0.166356027,0.321590752,0.497582523,0.625706981,0.74073091,0.854176843
11.0747213,F,0.7682593,0.166347244,0.321843348,0.497788348,0.625878756,0.740872116,0.8542879
11.08169539,F,0.768295192,0.166338468,0.322095753,0.497994019,0.626050405,0.741013221,0.854398879
11.08866949,F,0.768331043,0.166329698,0.322347968,0.498199538,0.626221927,0.741154223,0.854509781
11.09564359,F,0.768366852,0.166320935,0.322599993,0.498404902,0.626393323,0.741295123,0.854620604
11.10261769,F,0.768402619,0.166312179,0.322851826,0.498610114,0.626564593,0.741435922,0.854731349
11.10959178,F,0.768438344,0.166303429,0.32310347,0.498815172,0.626735736,0.741576618,0.854842016
11.11656588,F,0.768474028,0.166294687,0.323354922,0.499020077,0.626906753,0.741717213,0.854952605
11.12353998,F,0.768509669,0.166285951,0.323606185,0.499224828,0.627077644,0.741857705,0.855063117
11.13051408,F,0.768545269,0.166277222,0.323857257,0.499429426,0.627248409,0.741998096,0.85517355
11.13748817,F,0.768580827,0.1662685,0.324108139,0.499633871,0.627419047,0.742138384,0.855283904
11.14446227,F,0.768616343,0.166259784,0.32435883,0.499838163,0.627589559,0.742278571,0.855394181
11.15143637,F,0.768651818,0.166251075,0.324609332,0.500042302,0.627759945,0.742418655,0.85550438
11.15841047,F,0.768687251,0.166242373,0.324859643,0.500246288,0.627930205,0.742558638,0.8556145
11.16538456,F,0.768722642,0.166233678,0.325109764,0.50045012,0.628100339,0.742698518,0.855724543
11.17235866,F,0.768757991,0.16622499,0.325359696,0.500653799,0.628270346,0.742838296,0.855834507
11.17933276,F,0.768793298,0.166216308,0.325609437,0.500857326,0.628440228,0.742977973,0.855944393
11.18630685,F,0.768828563,0.166207634,0.325858988,0.501060699,0.628609983,0.743117547,0.8560542
11.19328095,F,0.768863787,0.166198965,0.32610835,0.50126392,0.628779612,0.74325702,0.85616393
11.20025505,F,0.768898969,0.166190304,0.326357521,0.501466987,0.628949115,0.74339639,0.856273581
11.20722915,F,0.768934109,0.16618165,0.326606503,0.501669902,0.629118492,0.743535658,0.856383153
11.21420324,F,0.768969207,0.166173002,0.326855296,0.501872663,0.629287742,0.743674824,0.856492648
11.22117734,F,0.769004264,0.166164361,0.327103898,0.502075272,0.629456867,0.743813889,0.856602064
11.22815144,F,0.769039279,0.166155727,0.327352311,0.502277728,0.629625866,0.743952851,0.856711402
11.23512554,F,0.769074252,0.166147099,0.327600535,0.502480031,0.629794738,0.744091711,0.856820661
11.24209963,F,0.769109183,0.166138479,0.327848568,0.502682181,0.629963484,0.744230469,0.856929843
